,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
69,BANQUETE ISD,178913,H,Rural,42,Rural-Distant,N
70,BARBERS HILL ISD,36902,D,Other Central City Suburban,41,Rural-Fringe,N
71,BARTLETT ISD,14902,H,Rural,32,Town-Distant,N
72,BASIS TEXAS,15834,I,Charter School Districts,11,City-Large,Y
73,BASTROP ISD,11901,E,Independent Town,42,Rural-Distant,N
74,BAY CITY ISD,158901,E,Independent Town,32,Town-Distant,N
75,BEATRICE MAYES INSTITUTE CHARTER S,101847,I,Charter School Districts,11,City-Large,Y
76,BEAUMONT ISD,123910,C,Other Central City,12,City-Midsize,N
77,BECKVILLE ISD,183901,H,Rural,42,Rural-Distant,N
78,BEEVILLE ISD,13901,E,Independent Town,32,Town-Distant,N
79,BELLEVUE ISD,39904,H,Rural,42,Rural-Distant,N
80,BELLS ISD,91901,H,Rural,42,Rural-Distant,N
81,BELLVILLE ISD,8901,E,Independent Town,32,Town-Distant,N
82,BELTON ISD,14903,D,Other Central City Suburban,23,Suburb-Small,N
83,BEN BOLT-PALITO BLANCO ISD,125902,H,Rural,42,Rural-Distant,N
84,BENAVIDES ISD,66901,H,Rural,43,Rural-Remote,N
85,BENJAMIN ISD,138904,H,Rural,43,Rural-Remote,N
86,BETA ACADEMY,101870,I,Charter School Districts,11,City-Large,Y
87,BEXAR COUNTY ACADEMY,15809,I,Charter School Districts,11,City-Large,Y
88,BIG SANDY ISD,187901,H,Rural,43,Rural-Remote,N
89,BIG SANDY ISD,230901,H,Rural,42,Rural-Distant,N
90,BIG SPRING ISD,114901,E,Independent Town,32,Town-Distant,N
91,BIG SPRINGS CHARTER SCHOOL,193801,I,Charter School Districts,43,Rural-Remote,Y
92,BIRDVILLE ISD,220902,B,Major Suburban,21,Suburb-Large,N
93,BISHOP CISD,178902,G,Non-metropolitan Stable,32,Town-Distant,N
94,BLACKWELL CISD,177903,H,Rural,43,Rural-Remote,N
95,BLANCO ISD,16902,G,Non-metropolitan Stable,42,Rural-Distant,N
96,BLAND ISD,116915,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
97,BLANKET ISD,25904,H,Rural,42,Rural-Distant,N
98,BLOOM ACADEMY CHARTER SCHOOL,101875,,,11,City-Large,Y
99,BLOOMBURG ISD,34909,H,Rural,42,Rural-Distant,N
100,BLOOMING GROVE ISD,175902,D,Other Central City Suburban,42,Rural-Distant,N
101,BLOOMINGTON ISD,235901,H,Rural,42,Rural-Distant,N
102,BLUE RIDGE ISD,43917,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
103,BLUFF DALE ISD,72904,H,Rural,43,Rural-Remote,N
104,BLUM ISD,109913,H,Rural,42,Rural-Distant,N
105,BOB HOPE SCHOOL,123807,I,Charter School Districts,13,City-Small,Y
106,BOERNE ISD,130901,B,Major Suburban,41,Rural-Fringe,N
107,BOLES ISD,116916,H,Rural,41,Rural-Fringe,N
108,BOLING ISD,241901,D,Other Central City Suburban,42,Rural-Distant,N
109,BONHAM ISD,74903,E,Independent Town,32,Town-Distant,N
110,BOOKER ISD,148901,H,Rural,43,Rural-Remote,N
111,BORDEN COUNTY ISD,17901,H,Rural,43,Rural-Remote,N
112,BORGER ISD,117901,G,Non-metropolitan Stable,32,Town-Distant,N
113,BOSQUEVILLE ISD,161923,H,Rural,41,Rural-Fringe,N
114,BOVINA ISD,185901,H,Rural,43,Rural-Remote,N
115,BOWIE ISD,169901,G,Non-metropolitan Stable,33,Town-Remote,N
116,BOYD ISD,249902,G,Non-metropolitan Stable,42,Rural-Distant,N
117,BOYS RANCH ISD,180901,H,Rural,43,Rural-Remote,N
118,BRACKETT ISD,136901,H,Rural,33,Town-Remote,N
119,BRADY ISD,160901,G,Non-metropolitan Stable,41,Rural-Fringe,N
120,BRAZOS ISD,8903,H,Rural,42,Rural-Distant,N
121,BRAZOS RIVER CHARTER SCHOOL,213801,I,Charter School Districts,42,Rural-Distant,Y
122,BRAZOS SCHOOL FOR INQUIRY & CREATI,21803,I,Charter School Districts,11,City-Large,Y
123,BRAZOSPORT ISD,20905,C,Other Central City,23,Suburb-Small,N
124,BRECKENRIDGE ISD,215901,G,Non-metropolitan Stable,33,Town-Remote,N
125,BREMOND ISD,198901,H,Rural,43,Rural-Remote,N
126,BRENHAM ISD,239901,E,Independent Town,32,Town-Distant,N
127,BRIDGE CITY ISD,181901,G,Non-metropolitan Stable,41,Rural-Fringe,N
128,BRIDGEPORT ISD,249903,G,Non-metropolitan Stable,41,Rural-Fringe,N
129,BRIDGEWAY PREPARATORY ACADEMY,57851,I,Charter School Districts,21,Suburb-Large,Y
130,BROADDUS ISD,203902,H,Rural,43,Rural-Remote,N
131,BROCK ISD,184909,D,Other Central City Suburban,42,Rural-Distant,N
132,BRONTE ISD,41901,H,Rural,43,Rural-Remote,N
133,BROOKELAND ISD,121902,H,Rural,43,Rural-Remote,N
134,BROOKESMITH ISD,25908,H,Rural,43,Rural-Remote,N
135,BROOKS ACADEMIES OF TEXAS,15830,I,Charter School Districts,11,City-Large,Y
136,BROOKS COUNTY ISD,24901,D,Other Central City Suburban,33,Town-Remote,N
137,BROWNFIELD ISD,223901,G,Non-metropolitan Stable,32,Town-Distant,N
138,BROWNSBORO ISD,107902,D,Other Central City Suburban,42,Rural-Distant,N
139,BROWNSVILLE ISD,31901,C,Other Central City,12,City-Midsize,N
140,BROWNWOOD ISD,25902,E,Independent Town,33,Town-Remote,N
141,BRUCEVILLE-EDDY ISD,161919,H,Rural,42,Rural-Distant,N
142,BRYAN ISD,21902,C,Other Central City,13,City-Small,N
143,BRYSON ISD,119901,H,Rural,43,Rural-Remote,N
144,BUCKHOLTS ISD,166907,H,Rural,42,Rural-Distant,N
145,BUENA VISTA ISD,186901,H,Rural,43,Rural-Remote,N
146,BUFFALO ISD,145901,G,Non-metropolitan Stable,43,Rural-Remote,N
147,BULLARD ISD,212902,D,Other Central City Suburban,41,Rural-Fringe,N
148,BUNA ISD,121903,G,Non-metropolitan Stable,42,Rural-Distant,N
149,BURKBURNETT ISD,243901,D,Other Central City Suburban,31,Town-Fringe,N
150,BURKEVILLE ISD,176901,H,Rural,43,Rural-Remote,N
151,BURLESON ISD,126902,C,Other Central City,21,Suburb-Large,N
152,BURNET CISD,27903,D,Other Central City Suburban,41,Rural-Fringe,N
153,BURNHAM WOOD CHARTER SCHOOL DISTRI,71801,I,Charter School Districts,11,City-Large,Y
154,BURTON ISD,239903,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
155,BUSHLAND ISD,188904,D,Other Central City Suburban,41,Rural-Fringe,N
156,BYNUM ISD,109902,H,Rural,42,Rural-Distant,N
157,CADDO MILLS ISD,116901,G,Non-metropolitan Stable,42,Rural-Distant,N
158,CALALLEN ISD,178903,G,Non-metropolitan Stable,11,City-Large,N
159,CALDWELL ISD,26901,D,Other Central City Suburban,41,Rural-Fringe,N
160,CALHOUN COUNTY ISD,29901,G,Non-metropolitan Stable,32,Town-Distant,N
161,CALLISBURG ISD,49905,G,Non-metropolitan Stable,42,Rural-Distant,N
162,CALVERT ISD,198902,H,Rural,42,Rural-Distant,N
163,CALVIN NELMS CHARTER SCHOOLS,101837,I,Charter School Districts,21,Suburb-Large,Y
164,CAMERON ISD,166901,E,Independent Town,41,Rural-Fringe,N
165,CAMPBELL ISD,116910,H,Rural,42,Rural-Distant,N
166,CANADIAN ISD,106901,G,Non-metropolitan Stable,33,Town-Remote,N
167,CANTON ISD,234902,E,Independent Town,32,Town-Distant,N
168,CANUTILLO ISD,71907,B,Major Suburban,11,City-Large,N
169,CANYON ISD,191901,C,Other Central City,12,City-Midsize,N
170,CARLISLE ISD,201913,H,Rural,42,Rural-Distant,N
171,CARRIZO SPRINGS CISD,64903,D,Other Central City Suburban,33,Town-Remote,N
172,CARROLL ISD,220919,B,Major Suburban,21,Suburb-Large,N
173,CARROLLTON-FARMERS BRANCH ISD,57903,B,Major Suburban,21,Suburb-Large,N
174,CARTHAGE ISD,183902,G,Non-metropolitan Stable,32,Town-Distant,N
175,CASTLEBERRY ISD,220917,B,Major Suburban,21,Suburb-Large,N
176,CAYUGA ISD,1902,H,Rural,43,Rural-Remote,N
177,CEDAR HILL ISD,57904,B,Major Suburban,21,Suburb-Large,N
178,CEDARS INTERNATIONAL ACADEMY,227817,I,Charter School Districts,11,City-Large,Y
179,CELESTE ISD,116902,H,Rural,42,Rural-Distant,N
180,CELINA ISD,43903,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
181,CENTER ISD,210901,G,Non-metropolitan Stable,33,Town-Remote,N
182,CENTER POINT ISD,133901,H,Rural,42,Rural-Distant,N
183,CENTERVILLE ISD,145902,H,Rural,43,Rural-Remote,N
184,CENTERVILLE ISD,228904,H,Rural,43,Rural-Remote,N
185,CENTRAL HEIGHTS ISD,174908,G,Non-metropolitan Stable,41,Rural-Fringe,N
186,CENTRAL ISD,3907,G,Non-metropolitan Stable,41,Rural-Fringe,N
187,CHANNELVIEW ISD,101905,B,Major Suburban,21,Suburb-Large,N
188,CHANNING ISD,103901,H,Rural,43,Rural-Remote,N
189,CHAPARRAL STAR ACADEMY,227814,I,Charter School Districts,21,Suburb-Large,Y
190,CHAPEL HILL ACADEMY,220815,I,Charter School Districts,11,City-Large,Y
191,CHAPEL HILL ISD,212909,D,Other Central City Suburban,41,Rural-Fringe,N
192,CHAPEL HILL ISD,225906,G,Non-metropolitan Stable,42,Rural-Distant,N
193,CHARLOTTE ISD,7901,H,Rural,42,Rural-Distant,N
194,CHEROKEE ISD,206903,H,Rural,43,Rural-Remote,N
195,CHESTER ISD,229906,H,Rural,43,Rural-Remote,N
196,CHICO ISD,249904,H,Rural,42,Rural-Distant,N
197,CHILDRESS ISD,38901,G,Non-metropolitan Stable,33,Town-Remote,N
198,CHILLICOTHE ISD,99902,H,Rural,43,Rural-Remote,N
199,CHILTON ISD,73901,H,Rural,42,Rural-Distant,N
200,CHINA SPRING ISD,161920,D,Other Central City Suburban,41,Rural-Fringe,N
201,CHIRENO ISD,174901,H,Rural,43,Rural-Remote,N
202,CHISUM ISD,139905,G,Non-metropolitan Stable,41,Rural-Fringe,N
203,CHRISTOVAL ISD,226901,H,Rural,42,Rural-Distant,N
204,CISCO ISD,67902,H,Rural,33,Town-Remote,N
205,CITY VIEW ISD,243906,D,Other Central City Suburban,12,City-Midsize,N
206,CITYSCAPE SCHOOLS,57841,I,Charter School Districts,11,City-Large,Y
207,CLARENDON ISD,65901,H,Rural,43,Rural-Remote,N
208,CLARKSVILLE ISD,194904,H,Rural,33,Town-Remote,N
209,CLAUDE ISD,6902,H,Rural,42,Rural-Distant,N
210,CLEAR CREEK ISD,84910,B,Major Suburban,21,Suburb-Large,N
211,CLEBURNE ISD,126903,D,Other Central City Suburban,41,Rural-Fringe,N
212,CLEVELAND ISD,146901,D,Other Central City Suburban,31,Town-Fringe,N
213,CLIFTON ISD,18901,G,Non-metropolitan Stable,32,Town-Distant,N
214,CLINT ISD,71901,B,Major Suburban,21,Suburb-Large,N
215,CLYDE CISD,30902,D,Other Central City Suburban,32,Town-Distant,N
216,COAHOMA ISD,114902,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
217,COLDSPRING-OAKHURST CISD,204901,E,Independent Town,42,Rural-Distant,N
218,COLEMAN ISD,42901,H,Rural,33,Town-Remote,N
219,COLLEGE STATION ISD,21901,C,Other Central City,12,City-Midsize,N
220,COLLINSVILLE ISD,91902,H,Rural,42,Rural-Distant,N
221,COLMESNEIL ISD,229901,H,Rural,42,Rural-Distant,N
222,COLORADO ISD,168901,G,Non-metropolitan Stable,41,Rural-Fringe,N
223,COLUMBIA-BRAZORIA ISD,20907,D,Other Central City Suburban,32,Town-Distant,N
224,COLUMBUS ISD,45902,G,Non-metropolitan Stable,33,Town-Remote,N
225,COMAL ISD,46902,B,Major Suburban,41,Rural-Fringe,N
226,COMANCHE ISD,47901,G,Non-metropolitan Stable,41,Rural-Fringe,N
227,COMFORT ISD,130902,E,Independent Town,32,Town-Distant,N
228,COMMERCE ISD,116903,G,Non-metropolitan Stable,41,Rural-Fringe,N
229,COMMUNITY ISD,43918,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
230,COMO-PICKTON CISD,112908,H,Rural,42,Rural-Distant,N
231,COMPASS ACADEMY CHARTER SCHOOL,68802,I,Charter School Districts,12,City-Midsize,Y
232,COMPASS ROSE ACADEMY,15838,I,Charter School Districts,11,City-Large,Y
233,COMQUEST ACADEMY,101842,I,Charter School Districts,21,Suburb-Large,Y
234,COMSTOCK ISD,233903,H,Rural,43,Rural-Remote,N
235,CONNALLY ISD,161921,D,Other Central City Suburban,22,Suburb-Midsize,N
236,CONROE ISD,170902,C,Other Central City,13,City-Small,N
237,COOLIDGE ISD,147901,H,Rural,42,Rural-Distant,N
238,COOPER ISD,60902,H,Rural,43,Rural-Remote,N
239,COPPELL ISD,57922,B,Major Suburban,21,Suburb-Large,N
240,COPPERAS COVE ISD,50910,D,Other Central City Suburban,22,Suburb-Midsize,N
241,CORPUS CHRISTI ISD,178904,C,Other Central City,11,City-Large,N
242,CORPUS CHRISTI MONTESSORI SCHOOL,178807,I,Charter School Districts,11,City-Large,Y
243,CORRIGAN-CAMDEN ISD,187904,H,Rural,43,Rural-Remote,N
244,CORSICANA ISD,175903,D,Other Central City Suburban,32,Town-Distant,N
245,COTTON CENTER ISD,95902,H,Rural,42,Rural-Distant,N
246,COTULLA ISD,142901,D,Other Central City Suburban,33,Town-Remote,N
247,COUPLAND ISD,246914,H,Rural,42,Rural-Distant,N
248,COVINGTON ISD,109903,H,Rural,42,Rural-Distant,N
249,CRANDALL ISD,129901,B,Major Suburban,41,Rural-Fringe,N
250,CRANE ISD,52901,D,Other Central City Suburban,32,Town-Distant,N
251,CRANFILLS GAP ISD,18908,H,Rural,43,Rural-Remote,N
252,CRAWFORD ISD,161901,H,Rural,42,Rural-Distant,N
253,CROCKETT COUNTY CONSOLIDATED CSD,53001,H,Rural,33,Town-Remote,N
254,CROCKETT ISD,113901,G,Non-metropolitan Stable,33,Town-Remote,N
255,CROSBY ISD,101906,B,Major Suburban,41,Rural-Fringe,N
256,CROSBYTON CISD,54901,H,Rural,43,Rural-Remote,N
257,CROSS PLAINS ISD,30901,H,Rural,43,Rural-Remote,N
258,CROSS ROADS ISD,107904,H,Rural,42,Rural-Distant,N
259,CROSSTIMBERS ACADEMY,184801,I,Charter School Districts,41,Rural-Fringe,Y
260,CROWELL ISD,78901,H,Rural,43,Rural-Remote,N
261,CROWLEY ISD,220912,B,Major Suburban,11,City-Large,N
262,CRYSTAL CITY ISD,254901,G,Non-metropolitan Stable,33,Town-Remote,N
263,CUERO ISD,62901,G,Non-metropolitan Stable,32,Town-Distant,N
264,CULBERSON COUNTY-ALLAMOORE ISD,55901,H,Rural,43,Rural-Remote,N
265,CUMBERLAND ACADEMY,212801,I,Charter School Districts,12,City-Midsize,Y
266,CUMBY ISD,112905,H,Rural,42,Rural-Distant,N
267,CUSHING ISD,174902,H,Rural,43,Rural-Remote,N
268,CYPRESS-FAIRBANKS ISD,101907,B,Major Suburban,21,Suburb-Large,N
269,D'HANIS ISD,163902,H,Rural,42,Rural-Distant,N
270,DAINGERFIELD-LONE STAR ISD,172902,G,Non-metropolitan Stable,32,Town-Distant,N
271,DALHART ISD,56901,G,Non-metropolitan Stable,41,Rural-Fringe,N
272,DALLAS ISD,57905,A,Major Urban,11,City-Large,N
273,DAMON ISD,20910,H,Rural,42,Rural-Distant,N
274,DANBURY ISD,20904,H,Rural,41,Rural-Fringe,N
275,DARROUZETT ISD,148905,H,Rural,43,Rural-Remote,N
276,DAWSON ISD,58902,H,Rural,43,Rural-Remote,N
277,DAWSON ISD,175904,H,Rural,43,Rural-Remote,N
278,DAYTON ISD,146902,E,Independent Town,32,Town-Distant,N
279,DE LEON ISD,47902,H,Rural,43,Rural-Remote,N
280,DECATUR ISD,249905,E,Independent Town,32,Town-Distant,N
281,DEER PARK ISD,101908,B,Major Suburban,21,Suburb-Large,N
282,DEKALB ISD,19901,H,Rural,42,Rural-Distant,N
283,DEL VALLE ISD,227910,B,Major Suburban,41,Rural-Fringe,N
284,DELL CITY ISD,115903,H,Rural,43,Rural-Remote,N
285,DENISON ISD,91903,D,Other Central City Suburban,13,City-Small,N
286,DENTON ISD,61901,C,Other Central City,12,City-Midsize,N
287,DENVER CITY ISD,251901,G,Non-metropolitan Stable,33,Town-Remote,N
288,DESOTO ISD,57906,B,Major Suburban,21,Suburb-Large,N
289,DETROIT ISD,194905,H,Rural,43,Rural-Remote,N
290,DEVERS ISD,146903,H,Rural,42,Rural-Distant,N
291,DEVINE ISD,163901,E,Independent Town,41,Rural-Fringe,N
292,DEW ISD,81906,H,Rural,42,Rural-Distant,N
293,DEWEYVILLE ISD,176903,H,Rural,42,Rural-Distant,N
294,DIBOLL ISD,3905,G,Non-metropolitan Stable,33,Town-Remote,N
295,DICKINSON ISD,84901,C,Other Central City,22,Suburb-Midsize,N
296,DILLEY ISD,82902,G,Non-metropolitan Stable,41,Rural-Fringe,N
297,DIME BOX ISD,144903,H,Rural,43,Rural-Remote,N
298,DIMMITT ISD,35901,D,Other Central City Suburban,33,Town-Remote,N
299,DIVIDE ISD,133905,H,Rural,43,Rural-Remote,N
300,DODD CITY ISD,74904,H,Rural,42,Rural-Distant,N
301,DONNA ISD,108902,D,Other Central City Suburban,21,Suburb-Large,N
302,DOSS CONSOLIDATED CSD,86024,H,Rural,43,Rural-Remote,N
303,DOUGLASS ISD,174911,H,Rural,43,Rural-Remote,N
304,DR M L GARZA-GONZALEZ CHARTER SCHO,178801,I,Charter School Districts,11,City-Large,Y
305,DRAW ACADEMY,101856,I,Charter School Districts,11,City-Large,Y
306,DRIPPING SPRINGS ISD,105904,B,Major Suburban,42,Rural-Distant,N
307,DRISCOLL ISD,178905,H,Rural,42,Rural-Distant,N
308,DUBLIN ISD,72902,G,Non-metropolitan Stable,41,Rural-Fringe,N
309,DUMAS ISD,171901,G,Non-metropolitan Stable,33,Town-Remote,N
310,DUNCANVILLE ISD,57907,B,Major Suburban,21,Suburb-Large,N
311,EAGLE MT-SAGINAW ISD,220918,B,Major Suburban,11,City-Large,N
312,EAGLE PASS ISD,159901,D,Other Central City Suburban,33,Town-Remote,N
313,EANES ISD,227909,B,Major Suburban,21,Suburb-Large,N
314,EARLY ISD,25909,G,Non-metropolitan Stable,33,Town-Remote,N
315,EAST BERNARD ISD,241902,D,Other Central City Suburban,42,Rural-Distant,N
316,EAST CENTRAL ISD,15911,B,Major Suburban,41,Rural-Fringe,N
317,EAST CHAMBERS ISD,36903,E,Independent Town,32,Town-Distant,N
318,EAST FORT WORTH MONTESSORI ACADEMY,220811,I,Charter School Districts,11,City-Large,Y
319,EAST TEXAS CHARTER SCHOOLS,92801,I,Charter School Districts,13,City-Small,Y
320,EASTLAND ISD,67903,G,Non-metropolitan Stable,33,Town-Remote,N
321,ECTOR COUNTY ISD,68901,C,Other Central City,12,City-Midsize,N
322,ECTOR ISD,74905,H,Rural,41,Rural-Fringe,N
323,EDCOUCH-ELSA ISD,108903,D,Other Central City Suburban,21,Suburb-Large,N
324,EDEN CISD,48901,H,Rural,43,Rural-Remote,N
325,EDGEWOOD ISD,15905,B,Major Suburban,11,City-Large,N
326,EDGEWOOD ISD,234903,G,Non-metropolitan Stable,42,Rural-Distant,N
327,EDINBURG CISD,108904,C,Other Central City,13,City-Small,N
328,EDNA ISD,120901,G,Non-metropolitan Stable,41,Rural-Fringe,N
329,EDUCATION CENTER INTERNATIONAL ACA,57833,I,Charter School Districts,21,Suburb-Large,Y
330,EHRHART SCHOOL,123805,I,Charter School Districts,12,City-Midsize,Y
331,EL CAMPO ISD,241903,E,Independent Town,32,Town-Distant,N
332,EL PASO ACADEMY,71804,I,Charter School Districts,11,City-Large,Y
333,EL PASO ISD,71902,A,Major Urban,11,City-Large,N
334,EL PASO LEADERSHIP ACADEMY,71810,I,Charter School Districts,11,City-Large,Y
335,ELEANOR KOLITZ HEBREW LANGUAGE ACA,15836,I,Charter School Districts,11,City-Large,Y
336,ELECTRA ISD,243902,H,Rural,32,Town-Distant,N
337,ELEMENTARY SCHOOL FOR EDUCATION IN,152806,,,11,City-Large,Y
338,ELGIN ISD,11902,G,Non-metropolitan Stable,41,Rural-Fringe,N
339,ELKHART ISD,1903,G,Non-metropolitan Stable,42,Rural-Distant,N
340,ELYSIAN FIELDS ISD,102906,G,Non-metropolitan Stable,42,Rural-Distant,N
341,ENNIS ISD,70903,D,Other Central City Suburban,41,Rural-Fringe,N
342,ERA ISD,49906,H,Rural,42,Rural-Distant,N
343,ERATH EXCELS ACADEMY INC,72802,I,Charter School Districts,41,Rural-Fringe,Y
344,ETOILE ACADEMY CHARTER SCHOOL,101872,I,Charter School Districts,11,City-Large,Y
345,ETOILE ISD,174910,H,Rural,43,Rural-Remote,N
346,EULA ISD,30906,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
347,EUSTACE ISD,107905,G,Non-metropolitan Stable,42,Rural-Distant,N
348,EVADALE ISD,121906,H,Rural,42,Rural-Distant,N
349,EVANT ISD,50901,H,Rural,43,Rural-Remote,N
350,EVERMAN ISD,220904,B,Major Suburban,21,Suburb-Large,N
351,EVOLUTION ACADEMY CHARTER SCHOOL,57834,I,Charter School Districts,12,City-Midsize,Y
352,EXCEL ACADEMY,101811,I,Charter School Districts,11,City-Large,Y
353,EXCELLENCE IN LEADERSHIP ACADEMY,108809,I,Charter School Districts,13,City-Small,Y
354,EXCELSIOR ISD,210906,H,Rural,43,Rural-Remote,N
355,EZZELL ISD,143906,H,Rural,43,Rural-Remote,N
356,FABENS ISD,71903,G,Non-metropolitan Stable,31,Town-Fringe,N
357,FAIRFIELD ISD,81902,G,Non-metropolitan Stable,33,Town-Remote,N
358,FALLS CITY ISD,128904,H,Rural,42,Rural-Distant,N
359,FANNINDEL ISD,60914,H,Rural,43,Rural-Remote,N
360,FARMERSVILLE ISD,43904,G,Non-metropolitan Stable,31,Town-Fringe,N
361,FARWELL ISD,185902,H,Rural,42,Rural-Distant,N
362,FAYETTEVILLE ISD,75906,H,Rural,43,Rural-Remote,N
363,FERRIS ISD,70905,B,Major Suburban,41,Rural-Fringe,N
364,FLATONIA ISD,75901,H,Rural,43,Rural-Remote,N
365,FLORENCE ISD,246902,G,Non-metropolitan Stable,42,Rural-Distant,N
