,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
366,FAYETTEVILLE ISD,75906,H,Rural,43,Rural-Remote,N
367,FERRIS ISD,70905,D,Other Central City Suburban,41,Rural-Fringe,N
368,FLATONIA ISD,75901,H,Rural,43,Rural-Remote,N
369,FLORENCE ISD,246902,G,Non-metropolitan Stable,42,Rural-Distant,N
370,FLORESVILLE ISD,247901,E,Independent Town,32,Town-Distant,N
371,FLOUR BLUFF ISD,178914,D,Other Central City Suburban,11,City-Large,N
372,FLOYDADA COLLEGIATE ISD,77901,H,Rural,32,Town-Distant,N
373,FOLLETT ISD,148902,H,Rural,43,Rural-Remote,N
374,FORESTBURG ISD,169910,H,Rural,43,Rural-Remote,N
375,FORNEY ISD,129902,B,Major Suburban,41,Rural-Fringe,N
376,FORSAN ISD,114904,H,Rural,42,Rural-Distant,N
377,FORT BEND ISD,79907,B,Major Suburban,21,Suburb-Large,N
378,FORT ELLIOTT CISD,242906,H,Rural,43,Rural-Remote,N
379,FORT STOCKTON ISD,186902,G,Non-metropolitan Stable,33,Town-Remote,N
380,FORT WORTH ACADEMY OF FINE ARTS,220809,I,Charter Schools,11,City-Large,Y
381,FORT WORTH ISD,220905,A,Major Urban,11,City-Large,N
382,FRANKLIN ISD,198903,D,Other Central City Suburban,42,Rural-Distant,N
383,FRANKSTON ISD,1904,H,Rural,42,Rural-Distant,N
384,FREDERICKSBURG ISD,86901,E,Independent Town,33,Town-Remote,N
385,FREER ISD,66903,H,Rural,43,Rural-Remote,N
386,FRENSHIP ISD,152907,D,Other Central City Suburban,22,Suburb-Midsize,N
387,FRIENDSWOOD ISD,84911,D,Other Central City Suburban,21,Suburb-Large,N
388,FRIONA ISD,185903,G,Non-metropolitan Stable,33,Town-Remote,N
389,FRISCO ISD,43905,C,Other Central City,21,Suburb-Large,N
390,FROST ISD,175905,H,Rural,42,Rural-Distant,N
391,FRUITVALE ISD,234909,H,Rural,42,Rural-Distant,N
392,FT DAVIS ISD,122901,H,Rural,43,Rural-Remote,N
393,FT HANCOCK ISD,115901,H,Rural,43,Rural-Remote,N
394,FT SAM HOUSTON ISD,15914,G,Non-metropolitan Stable,11,City-Large,N
395,GAINESVILLE ISD,49901,E,Independent Town,41,Rural-Fringe,N
396,GALENA PARK ISD,101910,B,Major Suburban,21,Suburb-Large,N
397,GALVESTON ISD,84902,D,Other Central City Suburban,31,Town-Fringe,N
398,GANADO ISD,120902,H,Rural,42,Rural-Distant,N
399,GARLAND ISD,57909,B,Major Suburban,21,Suburb-Large,N
400,GARNER ISD,184911,H,Rural,42,Rural-Distant,N
401,GARRISON ISD,174903,H,Rural,43,Rural-Remote,N
402,GARY ISD,183904,H,Rural,42,Rural-Distant,N
403,GATESVILLE ISD,50902,D,Other Central City Suburban,32,Town-Distant,N
404,GATEWAY CHARTER ACADEMY,57831,I,Charter Schools,11,City-Large,Y
405,GAUSE ISD,166902,H,Rural,42,Rural-Distant,N
406,GEORGE GERVIN ACADEMY,15802,I,Charter Schools,11,City-Large,Y
407,GEORGE I SANCHEZ CHARTER,101804,I,Charter Schools,11,City-Large,Y
408,GEORGE WEST ISD,149901,G,Non-metropolitan Stable,43,Rural-Remote,N
409,GEORGETOWN ISD,246904,D,Other Central City Suburban,13,City-Small,N
410,GHOLSON ISD,161925,H,Rural,42,Rural-Distant,N
411,GIDDINGS ISD,144901,D,Other Central City Suburban,41,Rural-Fringe,N
412,GILMER ISD,230902,D,Other Central City Suburban,41,Rural-Fringe,N
413,GLADEWATER ISD,92901,D,Other Central City Suburban,23,Suburb-Small,N
414,GLASSCOCK COUNTY ISD,87901,H,Rural,43,Rural-Remote,N
415,GLEN ROSE ISD,213901,G,Non-metropolitan Stable,42,Rural-Distant,N
416,GODLEY ISD,126911,B,Major Suburban,42,Rural-Distant,N
417,GOLD BURG ISD,169906,H,Rural,42,Rural-Distant,N
418,GOLDEN RULE CHARTER SCHOOL,57835,I,Charter Schools,11,City-Large,Y
419,GOLDTHWAITE ISD,167901,H,Rural,43,Rural-Remote,N
420,GOLIAD ISD,88902,G,Non-metropolitan Stable,42,Rural-Distant,N
421,GONZALES ISD,89901,G,Non-metropolitan Stable,32,Town-Distant,N
422,GOODRICH ISD,187903,H,Rural,42,Rural-Distant,N
423,GOODWATER MONTESSORI SCHOOL,246802,I,Charter Schools,13,City-Small,Y
424,GOOSE CREEK CISD,101911,B,Major Suburban,13,City-Small,N
425,GORDON ISD,182901,H,Rural,43,Rural-Remote,N
426,GORMAN ISD,67904,H,Rural,43,Rural-Remote,N
427,GRADY ISD,156905,H,Rural,42,Rural-Distant,N
428,GRAFORD ISD,182902,H,Rural,43,Rural-Remote,N
429,GRAHAM ISD,252901,G,Non-metropolitan Stable,33,Town-Remote,N
430,GRANBURY ISD,111901,D,Other Central City Suburban,32,Town-Distant,N
431,GRAND PRAIRIE ISD,57910,B,Major Suburban,21,Suburb-Large,N
432,GRAND SALINE ISD,234904,G,Non-metropolitan Stable,32,Town-Distant,N
433,GRANDFALLS-ROYALTY ISD,238904,H,Rural,43,Rural-Remote,N
434,GRANDVIEW ISD,126904,G,Non-metropolitan Stable,42,Rural-Distant,N
435,GRANDVIEW-HOPKINS ISD,90905,H,Rural,43,Rural-Remote,N
436,GRANGER ISD,246905,H,Rural,42,Rural-Distant,N
437,GRAPE CREEK ISD,226907,D,Other Central City Suburban,41,Rural-Fringe,N
438,GRAPELAND ISD,113902,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
439,GRAPEVINE-COLLEYVILLE ISD,220906,B,Major Suburban,13,City-Small,N
440,GREAT HEARTS TEXAS,15835,I,Charter Schools,11,City-Large,Y
441,GREENVILLE ISD,116905,C,Other Central City,32,Town-Distant,N
442,GREENWOOD ISD,165902,D,Other Central City Suburban,42,Rural-Distant,N
443,GREGORY-PORTLAND ISD,205902,D,Other Central City Suburban,21,Suburb-Large,N
444,GROESBECK ISD,147902,G,Non-metropolitan Stable,41,Rural-Fringe,N
445,GROOM ISD,33901,H,Rural,43,Rural-Remote,N
446,GROVETON ISD,228901,H,Rural,43,Rural-Remote,N
447,GRUVER ISD,98901,H,Rural,43,Rural-Remote,N
448,GUNTER ISD,91917,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
449,GUSTINE ISD,47903,H,Rural,43,Rural-Remote,N
450,GUTHRIE CSD,135001,H,Rural,43,Rural-Remote,N
451,HALE CENTER ISD,95903,H,Rural,42,Rural-Distant,N
452,HALLETTSVILLE ISD,143901,G,Non-metropolitan Stable,43,Rural-Remote,N
453,HALLSBURG ISD,161924,H,Rural,42,Rural-Distant,N
454,HALLSVILLE ISD,102904,D,Other Central City Suburban,31,Town-Fringe,N
455,HAMILTON ISD,97902,H,Rural,33,Town-Remote,N
456,HAMLIN COLLEGIATE ISD,127903,H,Rural,43,Rural-Remote,N
457,HAMSHIRE-FANNETT ISD,123914,D,Other Central City Suburban,42,Rural-Distant,N
458,HAPPY ISD,219901,H,Rural,42,Rural-Distant,N
459,HARDIN ISD,146904,G,Non-metropolitan Stable,42,Rural-Distant,N
460,HARDIN-JEFFERSON ISD,100905,D,Other Central City Suburban,42,Rural-Distant,N
461,HARLANDALE ISD,15904,B,Major Suburban,11,City-Large,N
462,HARLETON ISD,102905,H,Rural,42,Rural-Distant,N
463,HARLINGEN CISD,31903,D,Other Central City Suburban,13,City-Small,N
464,HARMONY ISD,230905,G,Non-metropolitan Stable,42,Rural-Distant,N
465,HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,227816,I,Charter Schools,11,City-Large,Y
466,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,101858,I,Charter Schools,11,City-Large,Y
467,HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,101846,I,Charter Schools,11,City-Large,Y
468,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,101862,I,Charter Schools,12,City-Midsize,Y
469,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,161807,I,Charter Schools,21,Suburb-Large,Y
470,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,15828,I,Charter Schools,11,City-Large,Y
471,HARMONY PUBLIC SCHOOLS - WEST TEXAS,71806,I,Charter Schools,11,City-Large,Y
472,HARPER ISD,86902,H,Rural,43,Rural-Remote,N
473,HARRIS COUNTY DEPT OF ED,101000,,,21,Suburb-Large,N
474,HARROLD ISD,244901,H,Rural,42,Rural-Distant,N
475,HART ISD,35902,H,Rural,43,Rural-Remote,N
476,HARTLEY ISD,103902,H,Rural,43,Rural-Remote,N
477,HARTS BLUFF ISD,225907,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
478,HASKELL CISD,104901,H,Rural,41,Rural-Fringe,N
479,HAWKINS ISD,250902,H,Rural,42,Rural-Distant,N
480,HAWLEY ISD,127904,H,Rural,42,Rural-Distant,N
481,HAYS CISD,105906,B,Major Suburban,41,Rural-Fringe,N
482,HEARNE ISD,198905,H,Rural,32,Town-Distant,N
483,HEDLEY ISD,65902,H,Rural,43,Rural-Remote,N
484,HEMPHILL ISD,202903,G,Non-metropolitan Stable,43,Rural-Remote,N
485,HEMPSTEAD ISD,237902,G,Non-metropolitan Stable,32,Town-Distant,N
486,HENDERSON ISD,201902,E,Independent Town,32,Town-Distant,N
487,HENRIETTA ISD,39902,D,Other Central City Suburban,41,Rural-Fringe,N
488,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,15833,I,Charter Schools,11,City-Large,Y
489,HEREFORD ISD,59901,D,Other Central City Suburban,32,Town-Distant,N
490,HERITAGE ACADEMY,15815,I,Charter Schools,33,Town-Remote,Y
491,HERMLEIGH ISD,208901,H,Rural,42,Rural-Distant,N
492,HICO ISD,97903,H,Rural,43,Rural-Remote,N
493,HIDALGO ISD,108905,D,Other Central City Suburban,21,Suburb-Large,N
494,HIGH ISLAND ISD,84903,H,Rural,43,Rural-Remote,N
495,HIGH POINT ACADEMY,220819,I,Charter Schools,21,Suburb-Large,Y
496,HIGHLAND ISD,177905,H,Rural,42,Rural-Distant,N
497,HIGHLAND PARK ISD,57911,B,Major Suburban,21,Suburb-Large,N
498,HIGHLAND PARK ISD,188903,H,Rural,41,Rural-Fringe,N
499,HILLSBORO ISD,109904,E,Independent Town,41,Rural-Fringe,N
500,HITCHCOCK ISD,84908,G,Non-metropolitan Stable,22,Suburb-Midsize,N
501,HOLLAND ISD,14905,H,Rural,42,Rural-Distant,N
502,HOLLIDAY ISD,5902,D,Other Central City Suburban,42,Rural-Distant,N
503,HONDO ISD,163904,G,Non-metropolitan Stable,32,Town-Distant,N
504,HONEY GROVE ISD,74907,H,Rural,43,Rural-Remote,N
505,HOOKS ISD,19902,G,Non-metropolitan Stable,31,Town-Fringe,N
506,HORIZON MONTESSORI PUBLIC SCHOOLS,108802,I,Charter Schools,12,City-Midsize,Y
507,HOUSTON CLASSICAL CHARTER SCHOOL,101878,I,Charter Schools,21,Suburb-Large,Y
508,HOUSTON GATEWAY ACADEMY INC,101828,I,Charter Schools,11,City-Large,Y
509,HOUSTON HEIGHTS HIGH SCHOOL,101821,I,Charter Schools,11,City-Large,Y
510,HOUSTON ISD,101912,A,Major Urban,11,City-Large,N
511,HOWE ISD,91905,D,Other Central City Suburban,41,Rural-Fringe,N
512,HUBBARD ISD,19913,H,Rural,42,Rural-Distant,N
513,HUBBARD ISD,109905,H,Rural,42,Rural-Distant,N
514,HUCKABAY ISD,72908,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
515,HUDSON ISD,3902,G,Non-metropolitan Stable,33,Town-Remote,N
516,HUFFMAN ISD,101925,D,Other Central City Suburban,41,Rural-Fringe,N
517,HUGHES SPRINGS ISD,34903,G,Non-metropolitan Stable,32,Town-Distant,N
518,HULL-DAISETTA ISD,146905,H,Rural,42,Rural-Distant,N
519,HUMBLE ISD,101913,B,Major Suburban,21,Suburb-Large,N
520,HUNT ISD,133902,H,Rural,42,Rural-Distant,N
521,HUNTINGTON ISD,3904,G,Non-metropolitan Stable,42,Rural-Distant,N
522,HUNTSVILLE ISD,236902,E,Independent Town,32,Town-Distant,N
523,HURST-EULESS-BEDFORD ISD,220916,B,Major Suburban,21,Suburb-Large,N
524,HUTTO ISD,246906,D,Other Central City Suburban,21,Suburb-Large,N
525,IDALOU ISD,152910,D,Other Central City Suburban,42,Rural-Distant,N
526,IDEA PUBLIC SCHOOLS,108807,I,Charter Schools,11,City-Large,Y
527,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,43801,I,Charter Schools,22,Suburb-Midsize,Y
528,INDUSTRIAL ISD,120905,G,Non-metropolitan Stable,42,Rural-Distant,N
529,INGLESIDE ISD,205903,D,Other Central City Suburban,31,Town-Fringe,N
530,INGRAM ISD,133904,G,Non-metropolitan Stable,41,Rural-Fringe,N
531,INSPIRE ACADEMIES,15808,I,Charter Schools,11,City-Large,Y
532,INSPIRED VISION ACADEMY,57830,I,Charter Schools,11,City-Large,Y
533,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),57848,I,Charter Schools,21,Suburb-Large,Y
534,IOLA ISD,93903,H,Rural,42,Rural-Distant,N
535,IOWA PARK CISD,243903,D,Other Central City Suburban,31,Town-Fringe,N
536,IRA ISD,208903,H,Rural,42,Rural-Distant,N
537,IRAAN-SHEFFIELD ISD,186903,H,Rural,43,Rural-Remote,N
538,IREDELL ISD,18906,H,Rural,43,Rural-Remote,N
539,IRION COUNTY ISD,118902,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
540,IRVING ISD,57912,B,Major Suburban,11,City-Large,N
541,ITALY ISD,70907,H,Rural,42,Rural-Distant,N
542,ITASCA ISD,109907,H,Rural,42,Rural-Distant,N
543,JACKSBORO ISD,119902,G,Non-metropolitan Stable,33,Town-Remote,N
544,JACKSONVILLE ISD,37904,E,Independent Town,32,Town-Distant,N
545,JARRELL ISD,246907,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
546,JASPER ISD,121904,E,Independent Town,33,Town-Remote,N
547,JAYTON-GIRARD ISD,132902,H,Rural,43,Rural-Remote,N
548,JEAN MASSIEU ACADEMY,57819,I,Charter Schools,11,City-Large,Y
549,JEFFERSON ISD,155901,G,Non-metropolitan Stable,42,Rural-Distant,N
550,JIM HOGG COUNTY ISD,124901,G,Non-metropolitan Stable,33,Town-Remote,N
551,JIM NED CISD,221911,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
552,JOAQUIN ISD,210902,H,Rural,43,Rural-Remote,N
553,JOHNSON CITY ISD,16901,H,Rural,42,Rural-Distant,N
554,JONESBORO ISD,50909,H,Rural,43,Rural-Remote,N
555,JOSHUA ISD,126905,D,Other Central City Suburban,41,Rural-Fringe,N
556,JOURDANTON ISD,7902,G,Non-metropolitan Stable,32,Town-Distant,N
557,JUBILEE ACADEMIES,15822,I,Charter Schools,11,City-Large,Y
558,JUDSON ISD,15916,B,Major Suburban,21,Suburb-Large,N
559,JUNCTION ISD,134901,H,Rural,33,Town-Remote,N
560,KARNACK ISD,102901,H,Rural,42,Rural-Distant,N
561,KARNES CITY ISD,128901,G,Non-metropolitan Stable,33,Town-Remote,N
562,KATHERINE ANNE PORTER SCHOOL,105801,I,Charter Schools,32,Town-Distant,Y
563,KATY ISD,101914,B,Major Suburban,21,Suburb-Large,N
564,KAUFMAN ISD,129903,D,Other Central City Suburban,32,Town-Distant,N
565,KEENE ISD,126906,G,Non-metropolitan Stable,31,Town-Fringe,N
566,KELLER ISD,220907,B,Major Suburban,11,City-Large,N
567,KELTON ISD,242905,H,Rural,43,Rural-Remote,N
568,KEMP ISD,129904,G,Non-metropolitan Stable,42,Rural-Distant,N
569,KENEDY COUNTY WIDE CSD,131001,H,Rural,43,Rural-Remote,N
570,KENEDY ISD,128902,H,Rural,41,Rural-Fringe,N
571,KENNARD ISD,113906,H,Rural,43,Rural-Remote,N
572,KENNEDALE ISD,220914,B,Major Suburban,21,Suburb-Large,N
573,KERENS ISD,175907,H,Rural,43,Rural-Remote,N
574,KERMIT ISD,248901,D,Other Central City Suburban,32,Town-Distant,N
575,KERRVILLE ISD,133903,E,Independent Town,41,Rural-Fringe,N
576,KI CHARTER ACADEMY,105803,I,Charter Schools,13,City-Small,Y
577,KILGORE ISD,92902,D,Other Central City Suburban,31,Town-Fringe,N
578,KILLEEN ISD,14906,C,Other Central City,12,City-Midsize,N
579,KINGSVILLE ISD,137901,E,Independent Town,32,Town-Distant,N
580,KIPP TEXAS PUBLIC SCHOOLS,227820,I,Charter Schools,11,City-Large,Y
581,KIRBYVILLE CISD,121905,G,Non-metropolitan Stable,43,Rural-Remote,N
582,KLEIN ISD,101915,B,Major Suburban,21,Suburb-Large,N
583,KLONDIKE ISD,58905,H,Rural,43,Rural-Remote,N
584,KNIPPA ISD,232901,H,Rural,42,Rural-Distant,N
585,KNOX CITY-O'BRIEN CISD,138902,H,Rural,43,Rural-Remote,N
586,KOPPERL ISD,18907,H,Rural,43,Rural-Remote,N
587,KOUNTZE ISD,100903,G,Non-metropolitan Stable,42,Rural-Distant,N
588,KRESS ISD,219905,H,Rural,42,Rural-Distant,N
589,KRUM ISD,61905,G,Non-metropolitan Stable,31,Town-Fringe,N
590,LA ACADEMIA DE ESTRELLAS,57839,I,Charter Schools,11,City-Large,Y
591,LA FE PREPARATORY SCHOOL,71807,I,Charter Schools,11,City-Large,Y
592,LA FERIA ISD,31905,G,Non-metropolitan Stable,22,Suburb-Midsize,N
593,LA GLORIA ISD,125906,H,Rural,42,Rural-Distant,N
594,LA GRANGE ISD,75902,G,Non-metropolitan Stable,33,Town-Remote,N
595,LA JOYA ISD,108912,C,Other Central City,21,Suburb-Large,N
596,LA PORTE ISD,101916,B,Major Suburban,21,Suburb-Large,N
597,LA PRYOR ISD,254902,H,Rural,43,Rural-Remote,N
598,LA VEGA ISD,161906,D,Other Central City Suburban,22,Suburb-Midsize,N
599,LA VERNIA ISD,247903,E,Independent Town,42,Rural-Distant,N
600,LA VILLA ISD,108914,H,Rural,21,Suburb-Large,N
601,LACKLAND ISD,15913,G,Non-metropolitan Stable,21,Suburb-Large,N
602,LAGO VISTA ISD,227912,F,Non-metropolitan Fast Growing,31,Town-Fringe,N
603,LAKE DALLAS ISD,61912,D,Other Central City Suburban,21,Suburb-Large,N
604,LAKE GRANBURY ACADEMY CHARTER SCHOOL,111801,I,Charter Schools,41,Rural-Fringe,Y
605,LAKE TRAVIS ISD,227913,B,Major Suburban,21,Suburb-Large,N
606,LAKE WORTH ISD,220910,B,Major Suburban,21,Suburb-Large,N
607,LAMAR CISD,79901,D,Other Central City Suburban,41,Rural-Fringe,N
608,LAMESA ISD,58906,G,Non-metropolitan Stable,33,Town-Remote,N
609,LAMPASAS ISD,141901,D,Other Central City Suburban,41,Rural-Fringe,N
610,LANCASTER ISD,57913,B,Major Suburban,21,Suburb-Large,N
611,LANEVILLE ISD,201903,H,Rural,42,Rural-Distant,N
612,LAPOYNOR ISD,107910,H,Rural,42,Rural-Distant,N
613,LAREDO ISD,240901,D,Other Central City Suburban,11,City-Large,N
614,LASARA ISD,245901,H,Rural,42,Rural-Distant,N
615,LATEXO ISD,113905,H,Rural,42,Rural-Distant,N
616,LAZBUDDIE ISD,185904,H,Rural,43,Rural-Remote,N
617,LEADERSHIP PREP SCHOOL,61804,I,Charter Schools,21,Suburb-Large,Y
618,LEAKEY ISD,193902,H,Rural,43,Rural-Remote,N
619,LEANDER ISD,246913,B,Major Suburban,21,Suburb-Large,N
620,LEARN4LIFE-AUSTIN,227830,,,11,City-Large,Y
621,LEARY ISD,19914,H,Rural,41,Rural-Fringe,N
622,LEFORS ISD,90902,H,Rural,42,Rural-Distant,N
623,LEGACY PREPARATORY,57846,I,Charter Schools,21,Suburb-Large,Y
624,LEGACY SCHOOL OF SPORT SCIENCES,101874,I,Charter Schools,21,Suburb-Large,Y
625,LEGACY TRADITIONAL SCHOOLS - TEXAS,15806,I,Charter Schools,11,City-Large,Y
626,LEGGETT ISD,187906,H,Rural,42,Rural-Distant,N
627,LEON ISD,145911,H,Rural,43,Rural-Remote,N
628,LEONARD ISD,74909,H,Rural,42,Rural-Distant,N
629,LEVELLAND ISD,110902,G,Non-metropolitan Stable,32,Town-Distant,N
630,LEVERETTS CHAPEL ISD,201904,H,Rural,42,Rural-Distant,N
631,LEWISVILLE ISD,61902,C,Other Central City,21,Suburb-Large,N
632,LEXINGTON ISD,144902,D,Other Central City Suburban,43,Rural-Remote,N
633,LIBERTY HILL ISD,246908,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
634,LIBERTY ISD,146906,D,Other Central City Suburban,41,Rural-Fringe,N
635,LIBERTY-EYLAU ISD,19908,G,Non-metropolitan Stable,13,City-Small,N
636,LIFE SCHOOL,57807,I,Charter Schools,21,Suburb-Large,Y
637,LIGHTHOUSE PUBLIC SCHOOLS,15825,I,Charter Schools,11,City-Large,Y
638,LINDALE ISD,212903,D,Other Central City Suburban,31,Town-Fringe,N
639,LINDEN-KILDARE CISD,34905,H,Rural,43,Rural-Remote,N
640,LINDSAY ISD,49907,H,Rural,42,Rural-Distant,N
641,LINGLEVILLE ISD,72909,H,Rural,42,Rural-Distant,N
642,LIPAN ISD,111902,H,Rural,43,Rural-Remote,N
643,LITTLE CYPRESS-MAURICEVILLE CISD,181908,E,Independent Town,22,Suburb-Midsize,N
644,LITTLE ELM ISD,61914,D,Other Central City Suburban,21,Suburb-Large,N
645,LITTLEFIELD ISD,140904,G,Non-metropolitan Stable,32,Town-Distant,N
646,LIVINGSTON ISD,187907,E,Independent Town,41,Rural-Fringe,N
647,LLANO ISD,150901,G,Non-metropolitan Stable,41,Rural-Fringe,N
648,LOCKHART ISD,28902,D,Other Central City Suburban,31,Town-Fringe,N
649,LOCKNEY ISD,77902,H,Rural,43,Rural-Remote,N
650,LOHN ISD,160905,H,Rural,43,Rural-Remote,N
651,LOMETA ISD,141902,H,Rural,43,Rural-Remote,N
652,LONDON ISD,178906,D,Other Central City Suburban,41,Rural-Fringe,N
653,LONE OAK ISD,116906,D,Other Central City Suburban,42,Rural-Distant,N
654,LONE STAR LANGUAGE ACADEMY,43802,I,Charter Schools,11,City-Large,Y
655,LONGVIEW ISD,92903,C,Other Central City,13,City-Small,N
656,LOOP ISD,83902,H,Rural,43,Rural-Remote,N
657,LORAINE ISD,168902,H,Rural,42,Rural-Distant,N
658,LORENA ISD,161907,G,Non-metropolitan Stable,41,Rural-Fringe,N
659,LORENZO ISD,54902,H,Rural,42,Rural-Distant,N
660,LOS FRESNOS CISD,31906,D,Other Central City Suburban,22,Suburb-Midsize,N
661,LOUISE ISD,241906,H,Rural,42,Rural-Distant,N
662,LOVEJOY ISD,43919,G,Non-metropolitan Stable,21,Suburb-Large,N
663,LOVELADY ISD,113903,H,Rural,43,Rural-Remote,N
664,LUBBOCK ISD,152901,C,Other Central City,11,City-Large,N
665,LUBBOCK-COOPER ISD,152906,D,Other Central City Suburban,41,Rural-Fringe,N
666,LUEDERS-AVOCA ISD,127905,H,Rural,42,Rural-Distant,N
667,LUFKIN ISD,3903,E,Independent Town,33,Town-Remote,N
668,LULING ISD,28903,G,Non-metropolitan Stable,32,Town-Distant,N
669,LUMBERTON ISD,100907,D,Other Central City Suburban,22,Suburb-Midsize,N
670,LUMIN EDUCATION,57805,I,Charter Schools,11,City-Large,Y
671,LYFORD CISD,245902,G,Non-metropolitan Stable,32,Town-Distant,N
672,LYTLE ISD,7904,G,Non-metropolitan Stable,41,Rural-Fringe,N
673,MABANK ISD,129905,D,Other Central City Suburban,32,Town-Distant,N
674,MADISONVILLE CISD,154901,G,Non-metropolitan Stable,32,Town-Distant,N
675,MAGNOLIA ISD,170906,D,Other Central City Suburban,41,Rural-Fringe,N
676,MALAKOFF ISD,107906,G,Non-metropolitan Stable,33,Town-Remote,N
677,MALONE ISD,109908,H,Rural,42,Rural-Distant,N
678,MALTA ISD,19910,H,Rural,42,Rural-Distant,N
679,MANARA ACADEMY,57844,I,Charter Schools,11,City-Large,Y
680,MANOR ISD,227907,B,Major Suburban,41,Rural-Fringe,N
681,MANSFIELD ISD,220908,B,Major Suburban,21,Suburb-Large,N
682,MARATHON ISD,22902,H,Rural,43,Rural-Remote,N
683,MARBLE FALLS ISD,27904,E,Independent Town,32,Town-Distant,N
684,MARFA ISD,189901,H,Rural,43,Rural-Remote,N
685,MARION ISD,94904,D,Other Central City Suburban,21,Suburb-Large,N
686,MARLIN ISD,73903,H,Rural,32,Town-Distant,N
687,MARSHALL ISD,102902,G,Non-metropolitan Stable,32,Town-Distant,N
688,MART ISD,161908,H,Rural,42,Rural-Distant,N
689,MARTINS MILL ISD,234905,H,Rural,42,Rural-Distant,N
690,MARTINSVILLE ISD,174909,H,Rural,43,Rural-Remote,N
691,MASON ISD,157901,H,Rural,43,Rural-Remote,N
692,MATAGORDA ISD,158904,H,Rural,43,Rural-Remote,N
693,MATHIS ISD,205904,G,Non-metropolitan Stable,32,Town-Distant,N
694,MAUD ISD,19903,H,Rural,42,Rural-Distant,N
695,MAY ISD,25905,H,Rural,43,Rural-Remote,N
696,MAYPEARL ISD,70915,D,Other Central City Suburban,42,Rural-Distant,N
697,MCALLEN ISD,108906,D,Other Central City Suburban,12,City-Midsize,N
698,MCCAMEY ISD,231901,H,Rural,43,Rural-Remote,N
699,MCDADE ISD,11905,H,Rural,42,Rural-Distant,N
700,MCGREGOR ISD,161909,G,Non-metropolitan Stable,31,Town-Fringe,N
701,MCKINNEY ISD,43907,D,Other Central City Suburban,22,Suburb-Midsize,N
702,MCLEAN ISD,90903,H,Rural,43,Rural-Remote,N
703,MCLEOD ISD,34906,H,Rural,42,Rural-Distant,N
704,MCMULLEN COUNTY ISD,162904,H,Rural,43,Rural-Remote,N
705,MEADOW ISD,223902,H,Rural,42,Rural-Distant,N
706,MEADOWLAND CHARTER DISTRICT,130801,I,Charter Schools,41,Rural-Fringe,Y
707,MEDINA ISD,10901,H,Rural,43,Rural-Remote,N
708,MEDINA VALLEY ISD,163908,B,Major Suburban,41,Rural-Fringe,N
709,MELISSA ISD,43908,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
710,MEMPHIS ISD,96904,H,Rural,43,Rural-Remote,N
711,MENARD ISD,164901,H,Rural,43,Rural-Remote,N
712,MERCEDES ISD,108907,G,Non-metropolitan Stable,21,Suburb-Large,N
713,MERIDIAN ISD,18902,H,Rural,43,Rural-Remote,N
714,MERIDIAN WORLD SCHOOL LLC,246801,I,Charter Schools,12,City-Midsize,Y
715,MERKEL ISD,221904,D,Other Central City Suburban,42,Rural-Distant,N
716,MESQUITE ISD,57914,B,Major Suburban,21,Suburb-Large,N
717,MEXIA ISD,147903,G,Non-metropolitan Stable,33,Town-Remote,N
718,MEYERPARK ELEMENTARY,101855,I,Charter Schools,11,City-Large,Y
719,MEYERSVILLE ISD,62906,H,Rural,42,Rural-Distant,N
720,MIAMI ISD,197902,H,Rural,43,Rural-Remote,N
721,MIDLAND ACADEMY CHARTER SCHOOL,165802,I,Charter Schools,12,City-Midsize,Y
722,MIDLAND ISD,165901,C,Other Central City,12,City-Midsize,N
723,MIDLOTHIAN ISD,70908,C,Other Central City,21,Suburb-Large,N
724,MIDWAY ISD,39905,H,Rural,42,Rural-Distant,N
725,MIDWAY ISD,161903,D,Other Central City Suburban,22,Suburb-Midsize,N
726,MILANO ISD,166903,H,Rural,42,Rural-Distant,N
727,MILDRED ISD,175910,H,Rural,42,Rural-Distant,N
728,MILES ISD,200902,H,Rural,42,Rural-Distant,N
729,MILFORD ISD,70909,H,Rural,42,Rural-Distant,N
730,MILLER GROVE ISD,112907,H,Rural,43,Rural-Remote,N
731,MILLSAP ISD,184904,D,Other Central City Suburban,42,Rural-Distant,N
