,DISTNAME,DISTRICT_id,District 2022-23 Total Students Count,District 2023 Staff: All Staff Total Full Time Equiv Count,District 2022-23 African American Students Percent,District 2022-23 American Indian Students Percent,District 2022-23 Asian Students Percent,District 2022-23 Hispanic Students Percent,District 2022-23 Pacific Islander Students Percent,District 2022-23 White Students Percent,District 2022-23 Two or More Races Students Percent,District 2022-23 Economically Disadvantaged Students Percent,District 2022-23 Title I Students percent,District 2022-23 Special Education Students Percent,District 2022-23 Section 504 Students Percent,District 2022-23 Bilingual/ESL Education Students Percent,District 2022-23 Emergent Bilingual/English Learner Students Percent,District 2022-23 Homeless Students Percent,District 2022-23 Immigrant Students Percent,District 2022-23 Migrant Students Percent,District 2022-23 Military Connected Students Percent,District 2022-23 Foster Care Students Percent,District 2022-23 Gifted & Talented Education Students Percent,District 2023 Staff: Teacher Student Ratio
44,ACADEMY ISD,14901,1835,241.1,6.0,0.3,1.0,26.6,0.3,60.6,5.2,43.1,100.0,12.6,11.3,6.3,6.6,1.7,0.3,0.0,13.5,0.6,7.8,15.7
45,BARTLETT ISD,14902,461,79.6,9.8,0.0,0.2,61.0,0.0,26.7,2.4,99.6,100.0,10.8,8.7,22.8,22.6,5.6,0.0,0.0,0.2,0.0,3.3,11.4
46,BELTON ISD,14903,13644,2033.6,7.4,0.4,1.9,35.1,0.3,48.6,6.2,43.9,22.6,16.8,12.5,6.9,6.6,1.2,0.3,0.0,29.4,0.4,8.3,14.0
47,HOLLAND ISD,14905,634,123.3,2.4,0.0,0.0,26.8,0.0,67.8,3.0,41.2,70.2,13.4,12.8,3.3,3.3,0.3,0.0,0.0,1.6,0.2,7.1,9.6
48,KILLEEN ISD,14906,43935,6269.8,33.4,0.5,2.3,33.9,2.1,18.3,9.6,60.3,61.0,15.6,10.7,11.1,11.9,0.8,0.4,0.0,45.8,0.4,3.2,15.7
49,ROGERS ISD,14907,880,137.7,1.0,0.2,0.6,31.8,0.0,64.3,2.0,44.8,47.3,11.6,12.6,7.5,7.5,0.6,1.3,0.0,5.2,0.9,8.3,12.2
50,SALADO ISD,14908,2336,283.7,1.4,0.1,0.3,25.3,0.3,68.5,4.2,27.8,44.1,10.7,10.9,6.1,6.1,0.1,0.6,0.0,26.8,0.4,6.7,15.5
51,TEMPLE ISD,14909,8615,1321.5,22.4,0.4,1.3,47.6,0.3,22.0,6.0,71.4,67.6,17.9,9.4,14.7,14.9,5.3,0.9,0.0,10.3,0.7,7.0,13.9
52,TROY ISD,14910,1690,213.8,1.8,0.3,0.2,32.1,0.2,60.5,4.9,53.6,71.1,17.9,12.7,5.7,5.7,2.1,0.1,0.0,7.0,0.7,5.2,14.6
79,ALAMO HEIGHTS ISD,15901,4762,659.9,2.0,0.3,2.8,39.8,0.1,52.6,2.4,21.5,1.3,11.8,13.9,12.7,7.3,0.2,1.5,0.0,8.0,0.2,21.9,13.2
80,HARLANDALE ISD,15904,12174,1972.2,0.5,0.0,0.1,97.2,0.0,2.0,0.2,87.8,94.2,12.9,7.8,22.1,19.8,0.7,3.1,0.1,1.0,0.2,6.7,14.4
81,EDGEWOOD ISD,15905,8177,1314.0,1.4,0.0,1.1,96.3,0.0,0.8,0.2,94.1,100.0,12.8,6.7,24.3,24.4,1.4,0.4,0.4,0.0,0.1,2.7,14.8
82,RANDOLPH FIELD ISD,15906,1462,200.2,17.8,0.2,2.3,28.2,0.5,37.3,13.6,6.8,2.0,11.6,9.8,0.3,0.4,0.0,2.9,0.0,73.4,0.2,9.5,14.6
83,SAN ANTONIO ISD,15907,45255,7027.5,5.6,0.1,0.5,90.1,0.0,3.0,0.7,88.5,98.6,14.6,4.9,25.9,23.5,2.6,2.1,0.1,2.4,0.2,7.3,15.1
84,SOUTH SAN ANTONIO ISD,15908,7872,1151.5,1.3,0.2,0.2,95.2,0.1,2.8,0.3,93.6,100.0,14.9,5.3,21.0,21.0,0.5,1.7,0.1,0.4,0.3,6.0,15.5
85,SOMERSET ISD,15909,4147,598.8,0.5,0.1,0.2,91.7,0.1,6.8,0.7,86.1,96.6,12.1,5.6,21.0,22.1,0.6,0.4,0.6,0.4,0.6,5.0,15.9
86,NORTH EAST ISD,15910,59007,8066.5,6.9,0.2,4.3,61.5,0.1,22.9,4.0,52.4,32.7,14.3,8.1,20.6,18.3,1.0,4.5,0.0,10.8,0.2,9.0,14.4
87,EAST CENTRAL ISD,15911,10617,1343.0,8.8,0.2,0.6,74.4,0.1,13.8,2.1,59.6,66.8,13.3,7.4,15.9,13.6,0.4,0.7,0.1,4.3,0.2,7.2,17.1
88,SOUTHWEST ISD,15912,13747,2090.6,3.6,0.1,0.5,89.7,0.1,4.9,1.2,81.4,100.0,17.6,7.8,19.0,19.1,2.1,1.0,0.3,3.6,0.4,10.6,14.4
89,LACKLAND ISD,15913,968,195.0,13.0,0.2,1.2,26.8,0.3,45.0,13.4,16.7,7.1,12.0,6.1,1.5,1.9,0.1,0.0,0.0,90.9,0.1,7.1,11.0
90,FT SAM HOUSTON ISD,15914,1627,291.7,14.3,0.8,2.5,29.4,0.7,40.1,12.1,21.9,52.2,15.2,7.7,2.2,2.3,0.0,1.2,0.0,92.5,0.0,6.3,11.8
91,NORTHSIDE ISD,15915,102719,13189.5,6.9,0.1,4.0,68.0,0.2,16.7,4.0,54.1,30.8,14.8,8.9,11.2,12.0,0.6,2.1,0.0,9.9,0.5,7.6,14.9
92,JUDSON ISD,15916,25871,3460.6,21.2,0.2,1.8,59.1,0.5,12.8,4.4,69.9,61.8,15.5,5.4,11.4,11.5,0.9,0.3,0.1,8.8,0.4,5.3,15.5
93,SOUTHSIDE ISD,15917,5965,982.1,1.0,0.2,0.3,91.3,0.0,6.8,0.5,88.6,100.0,15.8,7.0,24.0,22.5,2.4,0.3,0.2,0.9,0.7,7.0,15.6
94,JOHNSON CITY ISD,16901,722,122.1,0.0,0.0,0.7,29.9,0.0,67.2,2.2,42.4,42.1,14.3,10.0,7.6,7.6,0.3,1.2,0.3,4.3,0.6,4.2,11.7
95,BLANCO ISD,16902,1088,168.2,0.7,0.2,0.3,41.6,0.1,54.6,2.5,42.8,44.8,15.2,8.3,8.6,8.7,0.0,0.7,2.8,1.2,0.1,6.3,12.6
96,BORDEN COUNTY ISD,17901,225,52.2,0.0,0.4,0.0,23.1,0.0,74.7,1.8,35.1,100.0,5.8,6.7,0.4,0.9,0.0,0.0,0.0,0.0,0.0,8.9,9.5
97,CLIFTON ISD,18901,1024,171.7,1.3,0.0,0.8,35.6,0.2,57.0,5.1,57.4,100.0,17.7,11.5,8.3,8.3,1.4,0.4,0.5,7.4,0.2,4.2,11.9
98,MERIDIAN ISD,18902,357,88.4,3.4,0.0,0.8,37.0,0.3,54.6,3.9,70.0,99.4,18.5,12.6,6.7,7.0,0.6,0.0,0.0,2.2,0.0,15.1,7.7
99,MORGAN ISD,18903,152,28.8,0.0,0.7,0.0,57.9,0.0,36.8,4.6,83.6,100.0,19.7,5.3,11.8,11.8,0.0,2.0,0.0,5.3,0.0,2.0,9.2
100,VALLEY MILLS ISD,18904,665,95.7,1.7,0.0,1.2,28.4,0.2,64.4,4.2,53.8,100.0,16.2,12.2,9.0,9.0,0.0,0.0,1.2,1.2,0.2,3.5,11.9
101,WALNUT SPRINGS ISD,18905,171,28.2,0.6,0.0,0.0,66.1,0.0,32.7,0.6,90.1,100.0,15.8,7.0,31.0,31.0,1.2,2.3,1.2,7.6,0.0,0.6,9.5
102,IREDELL ISD,18906,142,28.6,0.0,0.0,0.0,33.1,0.0,66.2,0.7,70.4,100.0,18.3,6.3,0.0,0.0,9.2,0.0,0.0,3.5,0.0,5.6,8.4
103,KOPPERL ISD,18907,186,35.2,1.1,0.0,0.0,11.3,0.0,84.4,3.2,67.2,100.0,19.4,10.2,0.0,0.0,0.0,0.0,0.5,4.3,0.0,8.6,10.5
104,CRANFILLS GAP ISD,18908,126,30.9,4.0,0.0,0.8,34.9,0.0,57.9,2.4,61.9,100.0,19.0,9.5,5.6,5.6,3.2,0.0,0.0,0.0,0.8,1.6,7.9
105,DEKALB ISD,19901,828,113.2,17.3,0.8,0.6,14.5,0.0,59.5,7.2,70.0,100.0,12.7,12.8,4.8,5.3,1.2,0.1,0.0,0.5,0.5,8.9,12.4
106,HOOKS ISD,19902,920,156.9,11.3,0.2,0.3,9.5,0.4,67.8,10.4,57.1,100.0,12.6,14.9,3.4,3.4,0.5,0.0,0.0,0.3,0.2,7.9,12.7
107,MAUD ISD,19903,476,80.6,4.8,0.4,0.0,6.5,0.4,81.3,6.5,56.5,100.0,12.6,16.2,0.4,0.4,0.6,0.0,0.0,0.6,0.0,6.3,11.4
108,NEW BOSTON ISD,19905,1154,228.4,21.5,0.3,0.3,9.5,0.3,54.7,13.4,76.7,100.0,17.5,12.3,3.2,3.2,0.0,0.0,0.0,1.9,0.0,5.5,9.8
109,REDWATER ISD,19906,1059,156.0,2.9,0.4,0.5,3.9,0.5,88.2,3.7,51.4,100.0,10.6,14.3,0.8,0.8,1.1,0.0,0.0,11.0,0.0,9.1,10.5
110,TEXARKANA ISD,19907,7180,1190.4,45.1,0.3,1.2,17.1,0.1,29.8,6.4,75.0,62.4,12.9,13.8,9.5,9.4,0.6,0.6,0.0,2.6,0.0,5.1,12.8
111,LIBERTY-EYLAU ISD,19908,2003,402.3,57.3,0.6,0.0,6.9,0.1,27.0,8.1,87.2,73.4,16.4,8.0,2.6,2.7,0.2,0.0,0.0,0.3,0.0,4.1,11.1
112,SIMMS ISD,19909,484,86.4,0.2,0.0,0.6,3.7,0.0,91.7,3.7,49.2,99.8,10.1,15.5,1.4,1.7,1.0,0.0,0.0,0.2,0.0,5.6,9.9
113,MALTA ISD,19910,220,26.9,2.7,1.4,0.0,5.9,0.0,86.4,3.6,46.8,100.0,12.7,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,13.1
114,RED LICK ISD,19911,527,69.9,1.7,0.4,0.8,4.7,0.0,88.8,3.6,9.9,37.8,6.6,18.4,0.8,0.8,0.0,0.0,0.0,0.4,0.0,11.0,11.9
115,PLEASANT GROVE ISD,19912,2310,287.4,14.1,0.3,2.7,7.7,0.1,69.0,6.0,37.1,43.9,10.9,15.2,3.8,3.9,0.3,0.0,0.0,5.1,0.0,10.3,12.7
116,HUBBARD ISD,19913,77,17.3,0.0,0.0,0.0,16.9,0.0,77.9,5.2,63.6,100.0,14.3,0.0,14.3,14.3,0.0,0.0,0.0,1.3,0.0,3.9,9.6
117,LEARY ISD,19914,93,18.0,2.2,0.0,0.0,10.8,0.0,82.8,4.3,97.8,100.0,10.8,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,9.3
118,ALVIN ISD,20901,29188,3712.1,25.4,0.2,9.5,40.5,0.1,21.0,3.3,53.7,48.1,13.6,6.7,17.8,17.7,0.9,0.7,0.0,1.3,0.4,7.0,15.6
119,ANGLETON ISD,20902,6925,998.2,11.6,0.4,0.4,51.5,0.1,32.6,3.5,69.5,69.0,14.9,11.0,19.2,15.9,1.2,0.6,0.0,4.2,0.1,5.6,14.9
120,DANBURY ISD,20904,737,120.8,0.5,0.1,0.1,25.2,0.0,71.1,2.8,38.1,45.9,13.8,7.9,6.6,6.9,1.8,0.8,0.0,0.7,0.3,5.2,12.1
121,BRAZOSPORT ISD,20905,11618,1906.6,6.9,0.4,1.4,56.7,0.0,31.6,3.0,68.2,70.8,15.7,6.5,13.4,13.8,2.6,1.3,0.1,3.7,0.1,11.3,13.6
122,SWEENY ISD,20906,1898,293.8,10.7,0.1,0.3,27.3,0.0,56.6,5.1,59.6,100.0,9.7,10.1,3.9,4.2,1.6,0.4,0.1,0.7,0.2,4.1,14.4
123,COLUMBIA-BRAZORIA ISD,20907,2927,441.7,7.4,0.2,0.3,28.0,0.0,60.9,3.1,65.6,46.6,16.4,12.2,8.0,8.9,1.9,0.4,0.0,0.3,0.6,6.5,14.7
124,PEARLAND ISD,20908,21237,2529.2,15.3,0.2,11.5,37.9,0.1,30.9,4.0,37.0,34.1,11.6,8.3,14.2,12.6,0.5,0.7,0.0,7.7,0.3,11.9,16.5
125,DAMON ISD,20910,94,23.2,2.1,0.0,2.1,57.4,3.2,30.9,4.3,83.0,0.0,22.3,2.1,17.0,18.1,4.3,0.0,0.0,0.0,7.4,1.1,7.0
128,COLLEGE STATION ISD,21901,14464,2020.1,14.9,0.4,6.7,24.0,0.2,50.6,3.3,40.8,29.0,14.8,10.5,12.7,10.4,0.4,0.7,0.0,0.4,0.2,10.8,14.3
129,BRYAN ISD,21902,16036,2597.8,17.5,0.2,0.4,60.3,0.1,18.8,2.7,77.2,66.9,16.0,7.6,31.5,29.5,2.0,0.6,0.8,3.9,0.2,8.0,13.5
130,TERLINGUA CSD,22004,122,28.0,0.8,0.8,0.0,77.0,0.0,19.7,1.6,77.9,100.0,13.9,1.6,48.4,48.4,0.0,14.8,0.0,0.0,0.0,8.2,9.2
131,ALPINE ISD,22901,954,173.8,1.2,0.4,0.9,60.5,0.1,36.2,0.7,52.2,100.0,13.8,3.6,7.0,7.2,0.7,0.0,0.0,0.0,0.0,3.2,10.9
132,MARATHON ISD,22902,59,17.7,3.4,0.0,0.0,64.4,0.0,32.2,0.0,61.0,100.0,6.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,5.2
133,SAN VICENTE ISD,22903,9,9.5,0.0,0.0,0.0,55.6,0.0,44.4,0.0,0.0,0.0,22.2,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,11.1,2.0
134,SILVERTON ISD,23902,213,37.4,0.0,0.5,0.5,39.9,0.0,57.7,1.4,49.3,100.0,10.3,8.0,5.6,5.6,0.0,0.0,0.0,0.0,1.9,8.9,10.8
135,BROOKS COUNTY ISD,24901,1285,197.8,0.2,0.1,0.2,97.2,0.0,2.3,0.0,93.3,99.8,14.9,3.6,1.9,2.3,2.3,0.0,1.0,0.0,0.5,2.3,14.4
136,BANGS ISD,25901,862,143.2,2.0,0.1,0.6,26.0,0.0,69.0,2.3,66.2,71.3,11.3,10.0,1.6,1.7,0.2,0.0,0.0,5.6,1.2,4.3,11.6
137,BROWNWOOD ISD,25902,3443,505.5,4.3,0.3,0.4,44.2,0.0,46.1,4.8,67.5,100.0,15.2,8.7,3.4,3.4,0.9,0.0,0.0,2.6,2.3,7.1,13.2
138,BLANKET ISD,25904,142,35.0,0.0,0.0,0.0,34.5,0.0,65.5,0.0,62.7,100.0,13.4,7.0,2.8,2.8,1.4,0.0,0.0,2.8,3.5,7.0,7.0
139,MAY ISD,25905,254,46.2,0.4,0.0,0.0,19.3,0.0,75.2,5.1,62.6,47.2,16.9,4.7,5.9,5.9,0.4,1.6,0.0,0.8,0.0,7.5,9.8
140,ZEPHYR ISD,25906,227,37.3,0.4,0.4,0.0,11.9,0.9,81.9,4.4,61.2,100.0,13.7,11.0,0.9,0.9,0.0,0.0,0.0,0.9,0.4,8.4,10.7
141,BROOKESMITH ISD,25908,188,51.3,6.4,0.5,0.0,21.3,0.0,70.2,1.6,58.5,76.6,25.0,6.4,1.6,0.5,0.5,0.0,0.0,0.0,3.2,1.1,8.6
142,EARLY ISD,25909,1155,179.4,1.7,0.1,1.8,27.4,0.0,65.1,3.9,46.6,68.3,10.7,10.2,2.5,2.6,1.0,0.0,0.2,11.0,1.8,5.5,12.0
143,CALDWELL ISD,26901,1932,310.1,8.2,0.2,0.6,38.7,0.1,47.7,4.6,61.5,100.0,12.0,11.9,14.2,14.5,0.0,0.8,0.0,0.5,0.3,3.1,13.4
144,SOMERVILLE ISD,26902,533,80.7,15.9,0.0,0.9,37.5,0.0,39.0,6.6,74.1,62.7,12.9,7.9,11.8,10.3,0.0,1.1,0.8,3.9,0.2,2.4,10.6
145,SNOOK ISD,26903,589,103.4,16.6,0.3,0.0,36.5,0.0,43.8,2.7,68.6,100.0,11.9,13.2,15.8,15.8,0.0,0.7,0.3,0.3,0.0,4.6,12.1
146,BURNET CISD,27903,3304,485.6,1.0,0.5,0.7,32.8,0.1,62.6,2.4,60.8,69.8,16.6,13.2,10.5,10.8,1.0,0.8,0.0,8.6,0.5,4.4,14.0
147,MARBLE FALLS ISD,27904,4063,673.3,1.6,0.4,1.1,49.7,0.1,44.3,2.8,67.2,98.8,17.0,9.8,22.6,22.8,3.2,2.5,0.1,0.7,1.7,6.8,13.6
148,LOCKHART ISD,28902,6443,792.8,2.3,0.2,0.2,80.0,0.0,15.8,1.5,73.0,47.0,13.0,9.7,34.2,35.2,1.6,1.1,0.0,0.0,0.4,5.0,15.9
